Saison;DateMatch;Journee;adversaire;lieu;joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;A. Serrhat;Remp.;6;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;M. Rahim;Remp.;1;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;M. Ellafi;Remp.;27;;;
2021/22;2022-03-11;Phase de poules;Zamalek;Extérieur;J. Tsoumou;Remp.;27;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;A. R. Tagnaouti;Tit.;90;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;Y. Attiatallah;Tit.;90;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;M. Rahim;Tit.;90;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;A. Dari;Tit.;90;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;A. El Amloud;Tit.;90;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;J. Daoudi;Tit.;89;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;R. Jaadi;Tit.;90;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;M. Ellafi;Tit.;71;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;A. Haimoud;Tit.;61;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;S. Benyachou;Tit.;61;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;Z. El-Moutaraji;Tit.;89;1;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;A. Serrhat;Remp.;1;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;G. Mbenza;Remp.;29;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;M. El Ourdi;Remp.;1;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;M. Chrachem;Remp.;29;;;
2021/22;2022-03-19;Phase de poules;Sagrada Esperan�a;Extérieur;J. Tsoumou;Remp.;19;1;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;A. R. Tagnaouti;Tit.;90;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;A. El Amloud;Tit.;77;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;A. Dari;Tit.;90;1;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;M. Rahim;Tit.;90;;1;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;Y. Attiatallah;Tit.;46;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;M. Ellafi;Tit.;90;1;1;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;R. Jaadi;Tit.;90;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;Y. Jabrane;Tit.;90;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;Z. El-Moutaraji;Tit.;73;1;1;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;A. El Hassouni;Tit.;63;1;1;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;J. Tsoumou;Tit.;63;1;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;A. Serrhat;Remp.;13;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;G. Mbenza;Remp.;27;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;A. Haimoud;Remp.;27;;;
2021/22;2022-04-02;Phase de poules;Petro Luanda;Domicile;H. Asrir;Remp.;44;;;
