Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1968-69;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-0
1968-69;;;Tihad Athletic Sport;Championnat;Exterieur;1-0
1968-69;;;Raja Club Athletic;Championnat;Exterieur;1-1
1968-69;;;Etoile Jeunesse Sportive Casablanca;Championnat;Exterieur;0-0
1968-69;;;Stade Marocain;Championnat;Exterieur;2-1
1968-69;;;Club Omnisport de Meknes;Championnat;Exterieur;1-0
1969-70;;;AS Forces Armees Royales;Championnat;Exterieur;0-0
1969-70;;;Union Sidi Kacem;Championnat;Exterieur;1-1
1969-70;;;Raja Club Athletic;Championnat;Exterieur;2-0
1969-70;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;0-0
1969-70;;;AS Forces Armees Royales;Championnat;Domicile;0-1
1969-70;;;Union Sidi Kacem;Championnat;Domicile;3-1
1969-70;;;Raja Club Athletic;Championnat;Domicile;0-0
1969-70;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;0-1
1969-70;;;Maghreb Association Sportive;Championnat;Domicile;1-2
1969-70;;;Renaissance Sportive de Settat;Championnat;Domicile;0-0
1969-70;;;Fath Union Sport;Championnat;Domicile;0-1
1969-70;;;Difaa Hassani Jadidi;Championnat;Domicile;1-1
1969-70;;;Raja Beni Mellal;Championnat;Domicile;1-1
1969-70;;;Mouloudia Club Oujda;Championnat;Domicile;0-0
1969-70;;;Association des Douanes Marocaines;Championnat;Domicile;0-0
1969-70;;;Tihad Athletic Sport;Championnat;Domicile;1-0
1969-70;;;Kenitra Athletic Club;Championnat;Domicile;1-0
1969-70;;;Etoile Jeunesse Sportive Casablanca;Championnat;Domicile;1-0
1969-70;;;Association Sportive de Sale;Championnat;Domicile;1-0
1969-70;;;Maghreb Association Sportive;Championnat;Exterieur;1-1
1969-70;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-2
1969-70;;;Fath Union Sport;Championnat;Exterieur;0-0
1969-70;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-1
1969-70;;;Raja Beni Mellal;Championnat;Exterieur;0-1
1969-70;;;Mouloudia Club Oujda;Championnat;Exterieur;1-0
1969-70;;;Association des Douanes Marocaines;Championnat;Exterieur;1-1
1969-70;;;Tihad Athletic Sport;Championnat;Exterieur;1-2
1969-70;;;Kenitra Athletic Club;Championnat;Exterieur;1-0
1969-70;;;Etoile Jeunesse Sportive Casablanca;Championnat;Exterieur;2-0
1969-70;;;Association Sportive de Sale;Championnat;Exterieur;2-2
1970-71;;;Renaissance Sportive de Settat;Championnat;Exterieur;1-2
1970-71;;;AS Forces Armees Royales;Championnat;Exterieur;0-1
1970-71;;;Union Sidi Kacem;Championnat;Exterieur;1-3
1970-71;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;1-1
1970-71;;;Raja Beni Mellal;Championnat;Exterieur;1-0
1970-71;;;Difaa Hassani Jadidi;Championnat;Exterieur;0-2
1970-71;;;Renaissance Sportive de Settat;Championnat;Domicile;0-0
1970-71;;;AS Forces Armees Royales;Championnat;Domicile;1-0
1970-71;;;Union Sidi Kacem;Championnat;Domicile;2-1
1970-71;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;0-0
1970-71;;;Raja Beni Mellal;Championnat;Domicile;0-1
1970-71;;;Difaa Hassani Jadidi;Championnat;Domicile;0-0
1970-71;;;Fath Union Sport;Championnat;Domicile;0-0
1970-71;;;Maghreb Association Sportive;Championnat;Domicile;1-3
1970-71;;;Kenitra Athletic Club;Championnat;Domicile;1-0
1970-71;;;Raja Club Athletic;Championnat;Domicile;0-0
